,is_movie,release_year,year_added,month_added,duration_num,rating_num
0,0,2020,2020,8,240,18.0
1,1,2016,2016,12,93,18.0
2,1,2011,2018,12,78,17.0
3,1,2009,2017,11,80,13.0
4,1,2008,2020,1,123,13.0
5,0,2016,2017,7,60,18.0
6,1,2019,2020,6,95,18.0
7,1,1997,2019,11,119,17.0
8,1,2019,2019,4,118,14.0
9,1,2008,2017,12,143,18.0
10,1,2017,2017,10,103,18.0
11,0,2018,2018,11,60,18.0
12,0,2019,2019,5,60,18.0
13,1,2018,2019,3,89,18.0
14,1,2019,2020,3,91,17.0
15,1,2014,2019,9,149,14.0
16,0,2018,2019,3,60,14.0
17,1,2018,2018,10,144,17.0
18,1,2019,2019,3,124,14.0
19,1,2017,2018,5,87,10.0
20,1,2018,2018,9,110,14.0
21,1,2018,2018,9,128,14.0
22,1,2017,2018,9,117,14.0
23,1,2017,2018,9,100,14.0
24,0,2020,2020,1,120,14.0
26,0,2020,2020,8,60,18.0
27,1,2020,2020,9,99,18.0
28,1,2019,2020,7,95,14.0
29,0,2020,2020,4,60,18.0
30,1,2020,2020,2,90,14.0
31,1,2018,2020,5,102,0.0
32,1,2020,2020,6,104,0.0
33,1,2017,2017,9,99,14.0
34,1,2018,2019,4,105,14.0
35,1,2016,2016,12,56,10.0
36,1,2014,2019,6,125,18.0
37,1,2016,2019,6,119,18.0
38,0,2016,2019,3,60,14.0
39,1,2019,2019,7,81,18.0
40,1,2015,2017,3,97,14.0
41,1,2017,2018,3,106,18.0
42,1,2010,2017,3,99,18.0
43,1,2020,2020,10,107,18.0
44,1,2005,2018,2,93,13.0
45,0,2013,2017,1,60,18.0
46,1,2014,2017,7,89,10.0
47,1,2017,2017,7,105,14.0
48,1,2017,2019,10,87,14.0
49,1,2012,2017,7,97,14.0
50,1,2008,2019,6,109,13.0
51,0,2018,2020,12,60,14.0
52,1,2018,2018,7,93,18.0
53,0,2020,2020,3,60,14.0
54,1,2016,2017,3,109,18.0
56,1,2016,2018,3,75,14.0
57,1,2020,2021,1,101,14.0
58,0,2017,2019,11,60,14.0
59,1,2014,2016,12,89,14.0
60,1,2017,2019,3,90,18.0
61,0,2014,2017,5,60,14.0
63,0,2020,2020,6,240,18.0
64,0,2019,2019,8,180,18.0
65,1,2014,2019,1,93,17.0
66,1,2016,2016,10,101,18.0
68,1,2010,2019,4,113,17.0
69,1,2018,2018,10,89,18.0
70,1,2016,2019,2,84,18.0
71,1,2006,2019,11,102,13.0
72,1,2009,2021,1,102,13.0
73,1,2020,2020,5,114,18.0
74,1,2016,2017,6,130,17.0
75,1,2019,2020,8,90,18.0
76,1,2018,2019,7,94,18.0
77,1,2008,2020,6,97,18.0
78,1,2014,2018,8,143,10.0
79,1,2013,2018,9,91,13.0
80,0,2013,2017,8,60,18.0
81,1,2015,2017,4,107,10.0
82,1,2018,2018,12,95,14.0
83,1,2016,2019,6,119,17.0
84,1,2013,2019,4,93,17.0
85,0,2019,2020,7,60,18.0
86,0,2018,2018,12,60,14.0
87,0,2017,2018,3,60,18.0
88,1,2016,2018,3,101,18.0
89,1,2017,2018,4,93,17.0
90,1,2016,2018,10,140,14.0
91,1,2012,2017,10,135,18.0
92,1,2018,2018,5,82,18.0
93,1,2017,2018,5,70,18.0
94,1,2000,2020,9,104,13.0
95,0,2016,2017,6,60,10.0
96,1,2014,2020,12,117,13.0
97,1,2003,2019,12,121,18.0
98,1,2015,2017,8,92,13.0
99,1,2016,2019,1,124,10.0
100,1,2009,2019,8,164,13.0
101,1,2018,2019,6,53,10.0
102,1,2015,2016,12,93,18.0
103,1,2016,2019,4,91,14.0
104,1,2011,2021,1,83,17.0
105,1,1989,2019,10,93,14.0
106,1,2020,2020,6,114,18.0
107,1,2020,2020,1,116,18.0
109,1,2019,2020,11,93,14.0
110,1,2017,2018,2,81,18.0
112,0,2019,2019,8,60,18.0
113,1,2017,2017,12,84,0.0
114,1,2019,2019,7,105,18.0
116,1,2019,2020,6,120,18.0
117,1,2017,2019,1,106,18.0
118,1,2014,2019,3,92,13.0
119,1,2018,2018,12,96,14.0
